champion,assists,damage_objectives,damage_building,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,region,summoner_spells
Leona,9.0,0.0,63.0,9.0,1.1111111111111112,1.0,11.0,39.0,17876.0,0.0,59.0,13802,5933,Other,Few,region.EU,"[14.0, 4.0]"
Ashe,7.0,4885.0,9190.0,5.0,2.0,3.0,14.0,26.0,17148.0,3.0,24.0,84282,10168,Other,Many,region.EU,"[1.0, 4.0]"
Nunu,6.0,0.0,4920.0,6.0,1.5,3.0,12.0,21.0,22136.0,0.0,29.0,109911,7570,TopLane_Jungle,Few,region.EU,"[11.0, 4.0]"
Nautilus,2.0,0.0,0.0,3.0,1.0,1.0,8.0,14.0,6680.0,0.0,20.0,17853,4377,Other,Few,region.EU,"[14.0, 4.0]"
Graves,9.0,5749.0,15015.0,9.0,1.5555555559999998,5.0,,20.0,25928.0,2.0,19.0,180588,13221,Other,Many,region.EU,"[12.0, 4.0]"
Lulu,19.0,720.0,3379.0,9.0,2.222222222,1.0,12.0,33.0,15711.0,0.0,59.0,18443,8140,Other,Few,region.EU,"[14.0, 4.0]"
Akali,6.0,0.0,0.0,5.0,2.8,8.0,,2.0,14934.0,0.0,14.0,61170,8522,Other,Many,region.EU,"[14.0, 12.0]"
Kindred,6.0,451.0,20655.0,5.0,1.6,2.0,12.0,2.0,19406.0,1.0,24.0,116340,8484,TopLane_Jungle,Few,region.EU,"[11.0, 4.0]"
Poppy,8.0,4944.0,7334.0,6.0,2.0,4.0,15.0,35.0,21993.0,1.0,22.0,96700,9861,TopLane_Jungle,Many,region.EU,"[12.0, 4.0]"
Gwen,6.0,6202.0,15216.0,7.0,3.0,15.0,18.0,12.0,51957.0,2.0,45.0,261314,18542,TopLane_Jungle,Many,region.EU,"[14.0, 12.0]"
Senna,16.0,1826.0,14087.0,10.0,2.3,7.0,16.0,26.0,27102.0,1.0,,89787,13272,Other,Few,region.EU,"[3.0, 4.0]"
Nami,14.0,176.0,506.0,8.0,1.875,1.0,13.0,27.0,16891.0,1.0,48.0,11210,7744,Other,Few,region.EU,"[14.0, 4.0]"
Seraphine,,2131.0,3229.0,3.0,,4.0,13.0,19.0,9448.0,1.0,14.0,81191,9867,Other,Many,region.EU,"[7.0, 4.0]"
Malzahar,12.0,4221.0,19241.0,5.0,3.0,3.0,15.0,57.0,14700.0,2.0,28.0,129984,11244,Other,Many,region.EU,"[12.0, 4.0]"
LeeSin,11.0,658.0,31718.0,8.0,2.875,12.0,17.0,,44497.0,1.0,44.0,185256,14825,TopLane_Jungle,Few,region.EU,"[11.0, 4.0]"
Hecarim,11.0,764.0,9590.0,4.0,5.0,9.0,16.0,13.0,42154.0,1.0,,170661,12995,TopLane_Jungle,Few,region.EU,Other
Vayne,6.0,4779.0,9920.0,7.0,2.428571429,11.0,16.0,5.0,23880.0,2.0,10.0,156078,14909,Other,Many,region.EU,"[7.0, 4.0]"
Sylas,3.0,607.0,3669.0,6.0,1.166666667,4.0,14.0,15.0,24070.0,0.0,19.0,80715,9110,Other,Many,region.EU,"[12.0, 4.0]"
Teemo,2.0,1785.0,4074.0,6.0,1.166666667,5.0,14.0,28.0,16619.0,0.0,28.0,104181,9875,TopLane_Jungle,Many,region.EU,"[14.0, 4.0]"
Qiyana,5.0,0.0,0.0,7.0,1.714285714,7.0,15.0,,,0.0,18.0,114217,10141,TopLane_Jungle,Many,region.EU,"[14.0, 12.0]"
Shen,5.0,0.0,0.0,5.0,1.0,0.0,,17.0,17974.0,0.0,8.0,42550,5661,TopLane_Jungle,Few,region.EU,"[12.0, 4.0]"
Jhin,19.0,9231.0,17396.0,7.0,4.571428571428571,13.0,16.0,26.0,29049.0,2.0,,211453,16450,Other,Many,region.EU,"[7.0, 4.0]"
Pyke,10.0,0.0,0.0,13.0,1.1538461538461537,5.0,11.0,17.0,21965.0,0.0,58.0,18173,9266,Other,Few,region.EU,"[14.0, 4.0]"
Teemo,5.0,0.0,2080.0,14.0,0.571428571,3.0,13.0,58.0,27711.0,0.0,44.0,40183,8495,Other,Few,region.EU,"[14.0, 4.0]"
Lux,4.0,0.0,0.0,2.0,4.5,5.0,9.0,22.0,3100.0,0.0,35.0,15186,5844,Other,Few,region.EU,"[3.0, 4.0]"
Akali,8.0,5697.0,7111.0,11.0,2.454545455,19.0,18.0,4.0,29539.0,2.0,18.0,174788,17567,Other,Many,region.EU,"[12.0, 4.0]"
Hecarim,8.0,0.0,11984.0,3.0,3.666666667,3.0,,15.0,25669.0,0.0,25.0,117131,8401,TopLane_Jungle,Few,region.EU,Other
Viego,5.0,190.0,22952.0,11.0,1.454545455,11.0,17.0,19.0,41363.0,0.0,50.0,206885,15530,TopLane_Jungle,Few,region.EU,"[11.0, 4.0]"
Teemo,7.0,5327.0,9044.0,7.0,1.714285714,5.0,15.0,37.0,16791.0,1.0,,112490,11004,Other,Many,region.EU,"[14.0, 4.0]"
Viktor,2.0,961.0,961.0,8.0,0.625,3.0,14.0,9.0,19270.0,1.0,19.0,124589,9966,Other,Many,region.EU,"[12.0, 4.0]"
Jhin,14.0,6333.0,9153.0,1.0,18.0,4.0,15.0,,21499.0,3.0,39.0,192923,13728,Other,Many,region.EU,Other
Zoe,9.0,4677.0,5728.0,5.0,2.4,3.0,14.0,,15576.0,2.0,23.0,93372,10798,Other,Many,region.EU,"[12.0, 4.0]"
Jinx,8.0,5197.0,25521.0,9.0,2.888888889,18.0,17.0,23.0,34897.0,3.0,37.0,246292,19503,Other,Many,region.EU,"[7.0, 4.0]"
Talon,7.0,1678.0,24886.0,5.0,2.8,7.0,15.0,,24923.0,1.0,16.0,196128,11517,TopLane_Jungle,Few,region.EU,Other
Graves,4.0,749.0,749.0,8.0,0.75,2.0,10.0,7.0,17365.0,0.0,9.0,67284,7238,Other,Many,region.EU,"[12.0, 4.0]"
Hecarim,10.0,2682.0,31724.0,1.0,20.0,10.0,15.0,20.0,,3.0,21.0,166447,11051,TopLane_Jungle,Few,region.EU,Other
Graves,3.0,2723.0,4673.0,9.0,1.111111111,7.0,13.0,15.0,24619.0,1.0,25.0,120481,11469,TopLane_Jungle,Many,region.EU,"[12.0, 4.0]"
Nami,21.0,3425.0,3425.0,3.0,8.666666667000001,5.0,13.0,28.0,8402.0,1.0,40.0,22076,9082,Other,Few,region.EU,"[14.0, 4.0]"
Jhin,18.0,7290.0,13293.0,3.0,9.666666667,11.0,17.0,34.0,16586.0,2.0,18.0,223011,16420,Other,Many,region.EU,"[7.0, 4.0]"
Jhin,8.0,4612.0,14801.0,2.0,7.0,6.0,17.0,26.0,14718.0,3.0,28.0,230696,14580,Other,Many,region.EU,"[7.0, 4.0]"
Syndra,2.0,244.0,592.0,6.0,1.166666667,5.0,13.0,23.0,,0.0,11.0,110560,9830,Other,Many,region.EU,"[12.0, 4.0]"
Akali,4.0,345.0,345.0,6.0,1.5,5.0,13.0,2.0,28600.0,0.0,21.0,92829,9372,Other,Many,region.EU,"[14.0, 12.0]"
Jinx,7.0,11970.0,22958.0,6.0,3.5,14.0,15.0,13.0,18952.0,6.0,26.0,167771,15094,Other,Many,region.EU,"[3.0, 4.0]"
Sylas,5.0,688.0,1923.0,6.0,1.166666667,2.0,13.0,9.0,19239.0,0.0,18.0,100546,8139,Other,Many,region.EU,"[3.0, 4.0]"
