,champion_count
LeeSin,166
Jhin,155
Viego,134
Lulu,121
Ezreal,117
Lucian,113
Graves,99
Rakan,99
Qiyana,98
Zed,93
Lux,90
Talon,89
Irelia,88
Camille,88
Yone,87
Jinx,86
Nami,84
Karma,76
Jayce,74
Fiora,74
Nidalee,73
Akshan,73
Aphelios,71
Thresh,71
Sylas,71
Syndra,69
Ekko,69
Leblanc,68
Viktor,67
Vex,63
Xayah,62
TwistedFate,62
Leona,60
Kaisa,59
Akali,59
Yasuo,59
Janna,54
Singed,51
XinZhao,49
Bard,48
Gragas,48
Caitlyn,47
Kayn,47
Renekton,46
Karthus,45
Draven,43
Hecarim,42
Kassadin,41
Yuumi,41
Poppy,40
Corki,40
Zilean,40
Pyke,39
Nautilus,38
Shen,38
Jax,37
Gwen,36
MissFortune,36
Vladimir,34
Sett,34
Vayne,33
Galio,33
Khazix,31
Sona,31
Zoe,31
Riven,30
Kennen,29
Pantheon,29
Twitch,29
JarvanIV,28
Ziggs,28
Xerath,28
Teemo,27
Senna,27
Ryze,27
Aatrox,27
Katarina,26
Veigar,26
Blitzcrank,25
Urgot,25
Ashe,24
Rumble,23
Evelynn,23
Tristana,23
Trundle,23
Kindred,23
Sion,22
Rengar,22
Seraphine,20
Rell,20
Soraka,20
Tryndamere,20
Orianna,19
Taric,19
TahmKench,19
Nunu,18
Kayle,18
Warwick,17
RekSai,17
Darius,17
Ornn,17
Braum,15
Kalista,15
Cassiopeia,15
Gangplank,14
Lillia,13
Anivia,13
Zac,13
Fizz,13
Ivern,13
Varus,13
Taliyah,12
Samira,11
Malphite,11
Brand,11
Gnar,10
Lissandra,10
Heimerdinger,10
Nocturne,9
Diana,9
AurelionSol,8
Fiddlesticks,8
DrMundo,8
Nasus,8
Olaf,8
Alistar,8
Shaco,8
Morgana,7
Zyra,7
Sivir,7
Annie,7
Elise,7
Malzahar,7
MonkeyKing,6
Chogath,6
Volibear,6
Quinn,6
Sejuani,6
Velkoz,5
Neeko,5
Udyr,5
Azir,5
Mordekaiser,5
Shyvana,5
Garen,5
Illaoi,4
KogMaw,4
Skarner,4
Rammus,3
Maokai,3
Vi,3
Kled,2
Yorick,2
MasterYi,2
Ahri,2
Swain,2
Amumu,1
