,champion_count
Jhin,209
LeeSin,207
Graves,195
Yone,141
Caitlyn,132
Viktor,129
Jayce,126
Jinx,125
Thresh,118
Rakan,110
Lux,106
Viego,104
Akali,103
Aphelios,103
Karma,100
Talon,97
Leona,94
Kaisa,92
Irelia,90
Leblanc,87
Lulu,86
Vex,86
Gragas,85
Akshan,85
Nidalee,80
Sylas,77
TwistedFate,73
XinZhao,73
Ezreal,72
Jax,71
Qiyana,69
Pyke,68
Yasuo,68
Syndra,66
Samira,64
Nautilus,63
Zed,63
Tryndamere,63
Renekton,62
Zoe,59
Corki,58
Camille,54
Ryze,50
Galio,48
Blitzcrank,42
Taliyah,42
Kindred,41
Yuumi,41
Ziggs,40
Ekko,39
RekSai,38
Rumble,35
Lucian,35
Kennen,33
Orianna,32
JarvanIV,30
Xayah,29
Xerath,29
Vayne,29
Alistar,27
Nunu,26
Poppy,26
Gwen,26
Hecarim,25
Nami,24
MissFortune,24
Zyra,24
Sett,23
Rell,21
Sona,21
Zac,19
Aatrox,19
Gangplank,19
Fiora,19
Katarina,18
Lissandra,16
Diana,16
Senna,14
Draven,14
Kassadin,13
Malphite,13
Rengar,12
Elise,12
Braum,11
Cassiopeia,11
Bard,10
Quinn,10
Kalista,9
Taric,9
KogMaw,8
Olaf,8
Kayn,7
Riven,7
Shen,6
Pantheon,6
Shaco,6
Maokai,6
Nocturne,6
Karthus,6
TahmKench,6
Twitch,5
Ashe,5
Varus,5
Darius,5
Janna,5
Morgana,5
Shyvana,5
Kled,5
Zilean,4
Khazix,4
Volibear,4
Vladimir,4
MonkeyKing,4
Ornn,4
Udyr,4
Trundle,4
Amumu,4
Sejuani,4
Teemo,3
Anivia,3
Ahri,3
Neeko,3
Heimerdinger,3
Vi,3
Sion,3
Garen,3
Singed,3
Azir,3
Lillia,2
Urgot,2
Tristana,2
Malzahar,2
Seraphine,2
Soraka,2
Mordekaiser,2
Chogath,2
Veigar,2
Brand,1
Swain,1
Warwick,1
DrMundo,1
Evelynn,1
Fizz,1
Gnar,1
Sivir,1
Rammus,1
Nasus,1
