,champion_count
Jhin,136
Graves,135
Camille,125
Rakan,104
Viego,95
Talon,94
Lux,91
Aphelios,91
Jinx,89
LeeSin,88
Yone,87
Hecarim,82
Lulu,82
Sona,81
Ezreal,79
Fiora,78
Thresh,77
Lucian,73
Pyke,73
Yasuo,72
Ekko,72
Sylas,71
Xayah,70
Irelia,69
Akshan,68
Caitlyn,67
Karma,65
Tryndamere,63
MissFortune,62
Jayce,61
Draven,61
Leblanc,60
Zilean,58
Zed,57
Karthus,56
Vex,56
Vayne,55
Jax,54
Leona,51
Nautilus,50
TwistedFate,50
Poppy,50
Kennen,50
Qiyana,49
Nidalee,45
Senna,45
Viktor,45
Yuumi,44
Rengar,44
Kindred,44
Zoe,44
Kaisa,41
Soraka,40
Evelynn,40
Syndra,40
Blitzcrank,40
Rumble,40
Sett,38
Akali,38
Tristana,35
Ziggs,34
Nami,34
Xerath,33
Teemo,33
Kayn,33
Shen,32
Rell,31
MonkeyKing,30
RekSai,30
Ahri,29
Gragas,29
Alistar,28
Lillia,28
Garen,27
Morgana,27
Twitch,27
Bard,27
Seraphine,27
Khazix,26
Fiddlesticks,26
Galio,26
Riven,26
Singed,26
JarvanIV,26
Corki,25
Gangplank,24
Vi,24
Darius,22
Samira,22
Swain,21
XinZhao,21
Ivern,20
Ryze,20
Zac,20
Warwick,20
Malphite,20
Cassiopeia,18
Braum,18
Veigar,18
Katarina,18
Gwen,18
Kled,17
Renekton,17
Nocturne,17
Urgot,17
Kassadin,17
Shaco,16
Sivir,15
Nunu,14
TahmKench,14
Vladimir,13
Gnar,13
Brand,13
DrMundo,13
Taliyah,13
Diana,12
Chogath,12
Janna,11
Ashe,11
AurelionSol,10
Olaf,10
Fizz,10
Illaoi,10
Nasus,10
Mordekaiser,10
Aatrox,9
Amumu,9
Anivia,9
Annie,9
Sejuani,9
Maokai,9
KogMaw,8
MasterYi,8
Lissandra,8
Elise,8
Heimerdinger,8
Kayle,8
Taric,8
Trundle,7
Neeko,7
Orianna,7
Ornn,7
Sion,7
Pantheon,7
Kalista,6
Zyra,6
Velkoz,5
Skarner,5
Malzahar,4
Azir,4
Shyvana,3
Varus,3
Volibear,3
Yorick,2
Udyr,2
